item_id,item_text,benchmark,category
mmlu:1022,"A buyer filed a lawsuit against a seller based on a written contract allegedly executed at the time of the sale of the seller's hot dog stand to the buyer. Under the terms of the contract, the seller agreed not to open a hot dog stand for a period of two years within a distance of two miles of the old hot dog stand, now owned by the buyer. The buyer alleged in his complaint that the seller violated the contract by opening a hot dog stand one-half mile from the old location. The original contract was lost prior to trial. At trial, the buyer wants to introduce a duplicate carbon copy of the written contract. The seller objects as to the authenticity of the original written contract. The copy is",mmlu,mmlu
mmlu:1061,A change in a neuron membrane potential from +50 millivolts to -70 millivolts is considered,mmlu,mmlu
mmlu:1078,"A circus operates in a rural part of the county. It is the circus's practice to finish each day's entertainment by discharging a so-called aerial bomb into the sky. After exploding, the aerial bomb emits a spectacular rainbow fireworks display that is seen for miles around. One afternoon, a 10-year-old boy and a few friends went to the fairgrounds to see the circus. After paying their admission, they were about to enter the ""big top"" when the boy came upon an aerial bomb lying on the ground. Ignorant of what the object really was, but in an exploratory mood, the boy applied a match to the fuse of the fireworks device. It exploded and seriously injured the boy. After the accident, and before the parents of the boy had retained a lawyer, the adjuster for the circus's insurance carrier contacted the parents several times, trying to negotiate a settlement of their claim against the circus. On each occasion, the adjuster told the parents there was no need for them to hire an attorney because the applicable civil code did not provide for recovery in such a situation. The adjuster was aware that this information was blatantly false. He also warned the parents that unless they accepted his offered settlement of $5,000, they would receive nothing. For over a month, the adjuster continued to harass the parents. Outraged by the adjuster's actions, the parents sought the advice of a neighbor who recommended that they consult an attorney. The parents went ahead and retained a lawyer who subsequently negotiated a $250,000 settlement with the adjuster's insurance company for the claims relating to the boy's injury from the aerial bomb. If the parents assert a claim against the adjuster to recover damages for infliction of emotional distress, they will",mmlu,mmlu
mmlu:1086,"A city has adopted ordinance 172 which provides:""Section 1: It shall be unlawful for any person, group, or organization to hold a meeting of 50 persons or more in any city park without first securing a city permit;Section 2: The application shall specify the day and hours for which the permit is sought. The fee shall be $10 per hour, with a maximum fee of $50;Section 3: Permits shall be issued on a first come basis; provided that the police chief shall deny any application if, after hearing the applicant, it is his considered judgment that (a) the meeting would create serious traffic congestion, or (b) interfere with public enjoyment of the park, or (c) speakers at the meeting would advocate the commission of crime. ""A foreign exchange student planned to hold a demonstration at park in the city. Although the student's previous protest rallies attracted fewer than 25 demonstrators, he decided to apply for a permit pursuant to city ordinance 172. After meeting with the student, the chief of police denied his permit application because he believed that the demonstration would incite the protestors and threaten imminent violence or serious disorder. Subsequently, the student and his fellow demonstrators staged their rally at the park. The rally attracted only about 20 protestors and was conducted peacefully. As the student was making his final remarks to the gathering, the police arrived at the park and arrested the student and his fellow demonstrators charging them with violating ordinance 172. Which of the following would be the most accurate statement with regard to the arrest of the student and the other demonstrators?",mmlu,mmlu
mmlu:1107,A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,mmlu,mmlu
mmlu:1142,A company is interested in comparing the mean sales revenue per salesperson at two different locations. The manager takes a random sample of 10 salespeople from each location independently and records the sales revenue generated by each person during the last four weeks. He decides to use a t-test to compare the mean sales revenue at the two locations. Which of the following assumptions is necessary for the validity of the t-test?,mmlu,mmlu
mmlu:1346,A dime has a radius of about 0.85 cm. Which measurement is closest to the circumference of a dime?,mmlu,mmlu
mmlu:1351,"A disorder characterized by delusions of persecution, hallucinations, and disordered thinking is",mmlu,mmlu
mmlu:1355,"A doctor is charged with the murder of his wife. The prosecution alleges that he murdered his wife by giving her a massive injection of succinylcholine while she was asleep. Succinylcholine is a drug used in small quantities by anesthesiologists as a muscle relaxant. The prosecution claims that the fatal dose given to the wife so totally relaxed her lung muscles that she suffocated. During the trial, a toxicologist, who had no previous knowledge of the case, sat in court and heard all of the evidence about the wife's death and autopsy. As part of the doctor's defense, his attorney calls the toxicologist to give his opinion on the cause of the wife's death. May the toxicologist so testify?",mmlu,mmlu
mmlu:1385,"A farmer owned a tract of land in a state that has a notice recording statute and follows the title theory of mortgages. There were two farms situated on the property, one farm on the eastern half and one farm on the western half of the property. The farmer recorded a general warranty deed conveying the property to his son. Two years later, the son obtained a mortgage, secured by the farm property, in favor of his friend. The friend promptly recorded the mortgage. Twenty years later, the son sold the property to an investor by a general warranty deed, with the investor assuming the friend's mortgage. The following year, the investor subdivided the property and sold the western farm to a developer, while retaining the eastern farm. There was no mention of the mortgage in the general warranty deed between the investor and developer. The developer was unable to rezone the property to build houses as he had planned, so the developer sold the western farm to a florist. The conveyance to the florist made no mention of the friend's mortgage. Three years later, the florist entered into a contract with a rancher, pursuant to which the rancher would purchase the western farm for $75,000. The closing date for the deal was set for January 15. Assuming that on January 10, the rancher conducted a title search that revealed the friend's mortgage on the property, which of the following is correct?",mmlu,mmlu
mmlu:1418,"A female patient at a federal hospital reported that a male nurse sexually assaulted her. The man was arrested. At trial the prosecution offered evidence that the man was convicted of two prior sexual assault charges against two other women, both occurring about two years earlier. The allegations and the man's modus operandi in those convictions were almost identical to the instant case. Defense counsel objected to the evidence on the basis that its highly prejudicial effect outweighed its probative value. Based on the Federal Rules of Evidence, what will the court most likely rule regarding this issue?",mmlu,mmlu
mmlu:1430,A first-grade teacher is planning activities to introduce students to nonstandard units of measurement. Which of the following activities will best meet the teacher's goal?,mmlu,mmlu
mmlu:1491,A group's performance on a(n) __________ task is limited by the performance of the least skilled or knowledgeable member of the group.,mmlu,mmlu
mmlu:1493,"A gun dealer loaned a machine gun to a friend who told him only that he needed it to ""make some money."" The friend was arrested for robbing a bank with the machine gun. The government charged the gun dealer and the friend with conspiracy to commit bank robbery. Can the charge of conspiracy to commit bank robbery be upheld against the gun dealer?",mmlu,mmlu
mmlu:1508,A high school sent a survey to a randomly selected sample of 75 of last year's graduating class. 27 of those selected did not return the survey. The best plan of action would be to:,mmlu,mmlu
mmlu:1562,"A husband visits an attorney seeking a divorce because of his wife's infidelity. At the client consultation, the attorney's secretary took notes. With the permission bf the husband, the attorney's law clerk also sat in on the consultation to see how the attorney conducted these meetings. Shortly after this initial consultation with the attorney, the secretary quit. During the divorce trial, the wife's attorney seeks to call the secretary to testify about what the husband told the attorney during the initial client consultation. Upon objection, the secretary's proposed testimony will most likely be",mmlu,mmlu
mmlu:1611,"A landscaper agreed to maintain the yard of a homeowner for six months for a fee of $300 per month, payable at the end of the six-month period. This amount was the fair market value of the work to be performed. The landscaper performed the work for four months but was then offered another job for $500 per month and, after notifying the homeowner, stopped doing the promised work and took the other job. The homeowner refused to pay the landscaper anything. The homeowner could have hired a comparable landscaper to complete the work for $300 per month. In a lawsuit between the landscaper and the homeowner, what is the likely result?",mmlu,mmlu
mmlu:1626,"A law in one state forbids the transportation or sale of tomatoes in the state that have a more than 10% ""genetic engineering factor."" The U.S. Department of Agriculture does not use or mention genetic engineering factors in its standards for the sale and transportation of tomatoes. Tomato growers in a second state wish to ship tomatoes for sale into the first state but its tomatoes are in compliance only with the federal standards. The tomato growers' association in the second state brought an injunctive action in federal court against the agricultural department of the first state to enjoin enforcement of the genetic engineering rule on the basis of federal preemption. According to U.S. Supreme Court precedent, how will the courts decide the preemption claim?",mmlu,mmlu
mmlu:1684,"A man arranged to have custom-made wooden shutters installed on the windows of his home. The contractor who installed the shutters did so by drilling screws and brackets into the exterior window frames and the shutters. The man later agreed to sell the home to a buyer. The sales agreement did not mention the shutters, the buyer did not inquire about them, and the buyer did not conduct a walkthrough inspection of the home before the closing. The man conveyed the home to the buyer by warranty deed. After the sale closed, the buyer noticed that the shutters and brackets had been removed from the home and that the window frames had been repaired and repainted. The buyer demanded that the man return the shutters and pay the cost of reinstallation, claiming that the shutters had been conveyed to him with the sale of the home. When the man refused, the buyer sued. Is the buyer likely to prevail?",mmlu,mmlu
mmlu:1705,"A man filed a federal diversity action against a bus company, seeking damages for injuries he had sustained in an accident while riding a bus owned by the company. The man demanded a jury trial. After the parties' attorneys examined the prospective jurors and exercised their challenges, six jurors and two alternate jurors were chosen. During the trial, two jurors became ill and were replaced by the alternate jurors. At the conclusion of replaced by the alternate jurors. At the conclusion of the trial, a third juror also became ill, and the court excused that juror. The parties' attorneys stipulated to the return of a verdict from a five-person jury. The jury then deliberated and returned a verdict for the company. The man timely filed a motion for a new trial, arguing that the five-person jury was not large enough to return a verdict. Should the court grant the motion?",mmlu,mmlu
mmlu:1795,A math book and a physics book sitting on a table are tied together with a length of string. With the string taut one book is pushed off the edge of the table. As it falls the other book is dragged horizontally across the table surface. With no friction acceleration of the books is,mmlu,mmlu
mmlu:1807,"A meteorologist reports that there is a 30% probability of rain and no sun. If there is a 40% probability of no rain, then the probability of both rain and sun is",mmlu,mmlu
mmlu:1880,A number is rounded to the nearest hundred. The result is 500. Which number could not be the number before it was rounded to the nearest hundred?,mmlu,mmlu
mmlu:1957,"A person who is not very well organized, rarely sets goals, and frequently puts things off until the last minute would be said to be low on which trait?",mmlu,mmlu
mmlu:1983,A place where people lived and/or worked and where the physical evidence of their existence can be recovered is an archaeological:,mmlu,mmlu
mmlu:2021,"A point in space $(x,y,z)$ is randomly selected so that $-1\le x \le 1$,$-1\le y \le 1$,$-1\le z \le 1$. What is the probability that $x^2+y^2+z^2\le 1$?",mmlu,mmlu
mmlu:2057,"A previously healthy 37-year-old woman comes to the physician because of a 3-month history of episodes of severe anxiety, shortness of breath, palpitations, and numbness in her hands and feet. Her vital signs are within normal limits. Physical examination shows no abnormalities. Thyroid function studies and an ECG show no abnormalities. Which of the following is the most appropriate pharmacotherapy?",mmlu,mmlu
mmlu:2095,"A property owner who owner her property in fee simple leased a three-story house and the 21 -acre tract upon which it stood to a friend for a term of 10 years. By the terms of the lease, the friend expressly covenanted to pay a monthly rental of $300 and to pay the taxes on the premises during the term of the lease. The lease also stipulated that the friend, as lessee, may not assign or sublease the said premises. The friend and his family lived in the house for two years. Then the friend assigned his leasehold interest in the property to a cousin, who was unaware of the prohibition against assignments. This written assignment expressly provided that the cousin would pay the owner the monthly rental of $300, but was silent concerning the payment of taxes. The owner never objected to this assignment. Six months after the assignment, the owner conveyed her property interest in the premises to a developer. During the cousin's tenancy, the State Highway Authority filed proceedings to condemn two acres of the tract for the purpose of highway construction. As a result, the cousin contacted the developer and informed him that he should be entitled to an apportioned reduction in the rental. After the developer refused to reduce the rent, the cousin brings an action to have his rent apportioned pro tanto. Judgment should be for",mmlu,mmlu
mmlu:2145,A recent comparison of the intelligence scores of Asian Americans and African Americans on the Stanford-Binet showed that,mmlu,mmlu
mmlu:2227,"A scientist using mouse models to determine the response of blood hormones to large levels of glucose in the body discovers a new hormone not previously described. According to his data, this hormone is found both inside and out of cells when carrying out its function, increase the amount of nucleic acid in the cell while functioning, and are derived from a structure containing four hydroxycarbon rings. This will likely be categorized as which type of hormone?",mmlu,mmlu
mmlu:2236,A second-year college student is usually called a what?,mmlu,mmlu
mmlu:2238,"A security guard had a license to carry a concealed handgun. One day, he was walking past a barber shop when he saw his friend inside getting a haircut. The security guard knew that the barber, an elderly man, had a history of significant heart problems. The security guard decided to play a joke on his friend. The security guard took out his gun, burst through the door of the barber shop, pointed the gun at the friend, and shouted, ""Don't move or I'll shoot!"" The barber, thinking that an armed intruder was about to shoot the friend, suffered a heart attack and collapsed. If the barber brings suit against the security guard for infliction of emotional distress and seeks recovery for damages arising from the heart attack, he should",mmlu,mmlu
mmlu:2254,"A sexually active 20-year-old woman has had fever, chills, malaise, and pain of the vulva for 2 days. Examination shows a vulvar pustule that has ulcerated and formed multiple satellite lesions. Nodes are palpated in the inguinal and femoral areas. A smear of fluid from the lesions establishes the diagnosis. Which of the following is the most likely causal organism?",mmlu,mmlu
mmlu:2264,"A shopper purchased a can of sardines, which had been produced by a fish company. A short while later at home, the shopper was preparing a sardine sandwich when she opened the can and, to her astonishment, she saw a decomposed mouse. The shopper became nauseated and vomited upon seeing the mouse. After consulting her attorney, the shopper initiated a strict liability action against the company. At trial, the shopper presented into evidence the sardine can with the company's label, along with other corroborating evidence. The attorney representing the company objected to the introduction of the label on the can. The trial court should",mmlu,mmlu
mmlu:2271,A significance test of the hypothesis H0: p= 0.3 against the alternative HA: p> 0.3 found a value of = 0.35 for a random sample of size 95. What is the P-value of this test?,mmlu,mmlu
mmlu:2301,"A solution contains a mixture of four different compounds: KCl(aq), Fe(NO3)3(aq), MgSO4(aq), and N2H4(aq). Which of these compounds would be easiest to separate via distillation?",mmlu,mmlu
mmlu:2319,A sports talk show asks people to call in and give their opinion of the officiating in the local basketball team's most recent loss. What will most likely be the typical reaction?,mmlu,mmlu
mmlu:2320,"A spouse died on December 31, year 1. The couple had no dependents. What should be the filing status of the surviving spouse in year 2?",mmlu,mmlu
mmlu:2344,"A state has enacted a criminal statute prohibiting the mailing of obscene materials to any person. The owner of a publication company was prosecuted and convicted of violating the state obscenity law by mailing adults sexual literature that appealed to their prurient interests. During the owner's trial, the judge instructed the jury that determining if the mailed materials were obscene depended in part on whether they were offensive to the average or normal person under contemporary community standards, and that the community standards test must be considered in light of the fact that many children reside in the community. Furthermore, the judge instructed the jury that in determining whether the materials were obscene, it could also consider evidence of pandering, or whether the materials were marketed purposely to appeal to the recipients' prurient interest in sex. The owner appealed her conviction, alleging a denial of her First Amendment rights. Which of the following is the strongest argument why the appellate court should reverse the owner's conviction?",mmlu,mmlu
mmlu:2407,A store has 3 boxes of shirts. Each box has 4 packages with 7 shirts in each package. The expression 3 × (4 × 7) can be used to find the total number of shirts. Which expression can also be used to find the total number of shirts?,mmlu,mmlu
mmlu:2417,"A student at a private university sued the university in fed-eral court for negligence after he fell from scaffolding in a university-owned theater building. At trial, after briefing from both parties, the court permitted the jury to hear testimony that there had been several previous accidents in the same building. The jury found for the student, and the university appealed. One of the university's arguments on appeal is that the testimony about the previous accidents should have been excluded as irrelevant and highly prejudicial. Which standard of review applies to this argument?",mmlu,mmlu
mmlu:2459,"A supervisor has declared, “My position gives me a great deal of authority, my subordinates know that I expect that my orders will be followed.” This supervisor's statement refers to",mmlu,mmlu
mmlu:2478,"A teacher has three packages of stickers. One package contains 56 stickers, another package contains 48 stickers, and the third package contains 58 stickers. If the teacher divides all the stickers equally among 27 students, how many stickers will each student receive?",mmlu,mmlu
mmlu:2495,A telephone executive instructs an associate to contact 104 customers using their service to obtain their opinions in regard to an idea for a new pricing package. The associate notes the number of customers whose names begin with A and uses a random number table to pick four of these names. She then proceeds to use the same procedure for each letter of the alphabet and combines the 4 × 26 = 104 results into a group to be contacted. Which of the following is a correct conclusion?,mmlu,mmlu
mmlu:2611,"A woman is the fee simple owner of a 1,000-acre tract of land. Half of the tract is swampland totally unfit for cultivation, though it is heavily covered with valuable hardwood timber. The other half is also covered with valuable timber, but it would be land fit for the raising of crops if it were cleared of the timber. The latter section of land is more valuable for cultivation than it is for the growing of timber and has clearings where someone could build a home and live. The woman conveyed the tract to her brother for life. At the time of the conveyance, the swampland had never been used for the production of timber. The brother took possession and cleared 40 acres of the timber on the section that was suitable for cultivation. In addition, the brother cut 60 acres of timber in the swampland, thus becoming the first person to exploit this area. The brother then proceeded to clear some timber on the tract and used it in repairing fences, buildings, equipment, and the like on the property. In an action by the woman to permanently enjoin the brother from cutting any more timber on the swampland section of the tract and to account for profits received in the sale of the timber, the woman will most likely",mmlu,mmlu
mmlu:2631,"A woman was employed as a sales clerk at a department store. She worked in the women's lingerie section. One evening around closing time, the woman took a diamond necklace from a cabinetin the jewelry section of the department store and wrapped it in tissue paper. The woman then surreptitiously stuffed the necklace in a shopping bag, intending to remove it when she left the store. Moments later, the store owner approached the woman and told her she needed to stay late in order to do inventory. While the woman was completing inventory, the owner discovered the necklace and called the police. The woman is most likely guilty of",mmlu,mmlu
mmlu:2673,ADH is a hormone secreted by the kidneys that reduces the amount of water excreted in the urine. ADH is released in times of dehydration. This is an example of,mmlu,mmlu
mmlu:2677,Abnormal behavior can be defined as maladaptive behavior according to,mmlu,mmlu
mmlu:2701,"According to Baier’s theory, the second step in assessing whether an action is morally permissible is to find out:",mmlu,mmlu
mmlu:2769,"According to Kant, the supreme principle of morality is:",mmlu,mmlu
mmlu:2777,"According to Kubler-Ross, when a terminally ill patient is informed of his/her condition, the patient's initial reaction will likely be",mmlu,mmlu
mmlu:2874,"According to the heterotroph hypothesis, which event had to occur before oxygen filled the atmosphere?",mmlu,mmlu
mmlu:2899,"Adding more basis functions in a linear model, pick the most probably option:",mmlu,mmlu
mmlu:2900,"Additional dietary protein may:
",mmlu,mmlu
mmlu:2968,"Alice, age 14, is certain that everyone is looking at her because she has a large blemish in the middle of her forehead. According to Elkind (1967), Alice’s belief is a manifestation of:",mmlu,mmlu
mmlu:2991,All of the following are uses of job analysis except,mmlu,mmlu
mmlu:2992,All of the following are ways in which lobbyists attempt to persuade legislators EXCEPT,mmlu,mmlu
mmlu:2993,All of the following brain regions are considered part of the limbic system except ___________.,mmlu,mmlu
mmlu:3016,"All proteins absorb electromagnetic radiation of wavelength around 190 nm, which corresponds to a π → π* excitation in the protein molecule. In which region of the spectrum is this wavelength found?",mmlu,mmlu
mmlu:3063,"An accountant compiles the financial statements of a nonissuer and issues the standard compilation report. Although not specifically stated in this report, it is implied that",mmlu,mmlu
mmlu:3079,"An algorithm will be used to identify the maximum value in a list of one or more integers. Consider the two versions of the algorithm below.

 Algorithm I :  Set the value of a variable max to -1. Iterate through the list of integer
   values. If a data value is greater than the value of the variable max, set
  max to the data value.
 Algorithm II : Set the value of a variable max to the first data value. Iterate through the
   remaining values in the list of integers. If a data value is greater than the
   value of the variable max, set max to the data value.

 Which of the following statements best describes the behavior of the two algorithms?",mmlu,mmlu
mmlu:3166,"An ex-con who had just been released from prison approached two men and asked if they wanted to take part in a bank robbery. The two men both agreed. The ex-con went ahead and planned the robbery. As part of his scheme, the ex-con stole a van, which he intended to use as the getaway vehicle. According to the ex-con's plan, he would pick up the two men in the van on Friday morning and drive over to the bank where the robbery would occur. The ex-con instructed his cohort that he would be the getaway driver and wait in the van while they entered the bank, armed with shotguns. However, the day before the robbery was to take place, the excon was arrested on a parole violation for carrying a concealed weapon and was taken into custody. The two men, nevertheless, decided to carry out the robbery using the van that the ex-con had stolen. On Friday moming, the two men drove to the bank. When they entered, an undercover police detective was waiting and arrested the two men, as the police had received an anonymous tip regarding the robbery earlier that morning. The ex-con should be found guilty for which of the following crimes?",mmlu,mmlu
mmlu:3290,"Ann, Bea, and Carla were three friends who lived in the same neighborhood. While Ann was away on a business trip, someone broke into her garage and stole her golf clubs. The next week, Ann was planning to go on vacation and asked Bea if she could borrow her golf clubs. Bea agreed and loaned her golf clubs to Ann, who promised to return them after her vacation. When Ann returned home, she kept the golf clubs and continued to use them. A few weeks later, Bea was having dinner with Carla and learned that Carla owed Ann $4,000. Carla had just been laid off from her job and did not have the money to repay Ann. Bea told Carla that she would contact Ann and make arrangements to repay the loan on her behalf. Thereupon, Ann and Bea entered into a written agreement wherein Bea promised to pay Ann, at a rate of $400 a month, the matured $4,000 debt that Carla owed Ann. In the same written instrument, Ann promised to return Bea's golf clubs, which she still had in her possession. Ann, however, made no written or oral. commitment to forbear to sue Carla to collect the $4,000 debt; and Bea made no oral or written request for any such forbearance. After this agreement between Ann and Bea was signed and executed, Ann promptly returned the golf clubs to Bea. For the next six months, Bea made and Ann accepted the $400 monthly payments as agreed. During that period, Ann, in fact, did forbear to take any legal action against Carla. However, Bea then repudiated her agreement with Ann, and 30 days later Ann filed a contract action against Bea. Assume that the applicable statute of limitations on Ann's antecedent claim against Carla expired the day before Ann filed her contract action against Bea. Which of the following is the most persuasive argument that Bea is not liable to Ann under the terms of their written agreement?",mmlu,mmlu
mmlu:3334,Approximately how many kJ of energy are expended if an athlete's steady-rate oxygen uptake averages 3.0 l/min for 5 minutes of exercise?,mmlu,mmlu
mmlu:3341,Approximately what proportion of nonprofit sector practitioners conduct audience research?,mmlu,mmlu
mmlu:3366,Arguing in favor of a claim based only on the evidence that some regular people believe the claim is one way to commit which of the following fallacies?,mmlu,mmlu
mmlu:3386,Artifacts _________; ecofacts __________,mmlu,mmlu
mmlu:3393,"As a result of the increasing northward movement of the population from a nearby city, a town enacted a zoning ordinance restricting present and future land use in the town to single family dwellings, except in the downtown commercial shopping area, and except for a small area in which multifamily dwellings not over 40 feet in height were permitted. In addition, all new construction or exterior modifications of existing buildings required prior approval of an aesthetic control board. The zoning ordinance defined the term ""family"" in the context of single family dwellings to mean only one or more persons related by marriage, blood, or adoption, thereby excluding unrelated, unmarried persons from residing in a single residence unit. The enabling legislation contained the following provision:""This enactment is necessary to preserve the physical and social homogeneity of this community, and preserve and protect the quality of life of its citizens. ""A town resident owns a single family residence with five bedrooms. Prior to the enactment of the zoning ordinance, the resident leased the premises on a month-to-month basis to a boyfriend and girlfriend and three other male law students. The five individuals are all unmarried and attend the nearby law school. The resident now brings suit to enjoin enforcement of the ordinance against himself. Which of the following is the most accurate statement regarding the constitutionality of the zoning ordinance provision that prohibits unrelated, unmarried persons from residing in a single family residence?",mmlu,mmlu
mmlu:3413,"As of 2017, how many people in the world have some access to electricity?",mmlu,mmlu
mmlu:3445,"As of 2020, about what percentage of the world population practices open defecation?",mmlu,mmlu
mmlu:3576,Bailey Co. changed the accounting for insurance expense from the cash basis to the accrual basis in the current year. In January of the prior year Bailey recorded insurance expense of $240000 for the cash purchase of a four-year insurance policy. How should Bailey report the insurance transaction in the current year's financial statements?,mmlu,mmlu
mmlu:3599,Before Nixon resigned how many believed he should be removed from office?,mmlu,mmlu
mmlu:3623,Benzodiazepines must be used cautiously as ___________.,mmlu,mmlu
mmlu:3693,Calculate $\left(\frac{1}{a}\right)^4 \cdot 2 \cdot a^4+a^{2+1-3}$ when $a=42$.,mmlu,mmlu
mmlu:3694,Calculate spin density on the central carbon atom of malonic acid radical (•CH(COOH)2) if the hyperfine value for the α-hydrogen atom is 21.9 G.,mmlu,mmlu
mmlu:3706,Can a stream cipher have perfect secrecy?,mmlu,mmlu
mmlu:3724,Cat food costs $.47/lb. How much does a 6-lb bag cost?,mmlu,mmlu
mmlu:3751,Cheddar cheese got its name from a village in what country?,mmlu,mmlu
mmlu:3827,"Conflict between sequential members in a distribution network, such as producers, distributor, and retailers, over such matters as carrying a particular range or price increases is referred to as:",mmlu,mmlu
mmlu:3846,"Congress, under intense lobbying pressure has enacted a statute prohibiting the sale of contraceptive devices to married persons. The act further prohibits the use of contraceptive devices by married persons. Congress claimed that the statute was passed because it might help deter illicit sexual relationships. The law is most likely",mmlu,mmlu
